Puntaje promedio en prueba SIMCE matemáticas, II° medio y brecha de género por sexo, según año. Años 2006 - 2023.(1);;;
;;;
Año;"Puntaje SIMCE de matemáticas hombres 
(puntos)";"Puntaje SIMCE de matemáticas mujeres
(puntos)";"Brecha de género 
(puntos)"
2006;257;247;-10
2008;254;246;-8
2010;260;251;-9
2012;269;261;-8
2013;271;262;-9
2014;267;262;-5
2015;263;261;-2
2016;267;264;-3
2017;267;265;-2
2018;266;261;-4
2022;255;248;-7
2023;262;251;-11
Fuente: División de Estudios, Agencia de la Calidad de la Educación.;;;
;;;
Nota:;;;
1 Los datos son presentados a nivel nacional y reportados sin decimales. ;;;
;;;
;;;
;;;
